so2_data_quality,atmospheric_variability,aerosol_optical_depth
22,83.94,0.771
22,99.99,1.451
22,99.56,1.336
22,99.66,2.076
22,98.5,0.828
22,99.89,0.781
22,99.56,1.621
22,-16.18,1.027
21,34.67,0.432
21,44.71,0.421
22,69.16,0.435
21,35.33,0.404
21,49.06,0.394
22,8.79,0.397
22,54.59,0.42
22,96.24,0.496
22,45.03,0.412
22,13.85,0.401
22,43.46,0.416
22,99.87,0.493
22,35.32,0.458
22,99.73,0.417
22,56.78,0.377
22,55.55,0.383
22,32.74,0.406
22,58.58,0.418
22,17.29,0.414
22,73.36,0.423
22,99.35,0.424
22,15.92,0.437
22,21.3,0.398
22,31.97,0.366
22,-20.33,0.353
22,13.87,0.336
22,48.87,0.338
22,34.8,0.243
22,47.08,0.239
22,72.15,0.274
22,54.18,0.317
22,69.72,0.322
22,59.83,0.305
22,24.29,0.302
22,21.7,0.303
22,23.74,0.306
22,41.56,0.341
22,36.85,0.338
22,25.14,0.328
22,56.73,0.334
22,6.42,0.343
22,29.89,0.339
22,32.56,0.344
22,54.96,0.349
22,86.0,0.363
22,33.09,0.374
22,60.3,0.387
22,76.01,0.403
22,76.96,0.397
22,42.7,0.401
22,82.06,0.416
22,75.7,0.39
22,58.03,0.383
22,72.95,0.38
21,69.72,0.373
21,49.93,0.366
21,22.75,0.358
21,32.67,0.341
21,54.5,0.336
21,64.65,0.328
21,2.46,0.338
21,62.05,0.348
21,55.11,0.337
21,17.25,0.336
21,-2.09,0.33
21,71.29,0.331
21,64.04,0.329
21,5.61,0.338
21,31.67,0.339
21,39.3,0.346
21,32.7,0.385
22,86.08,0.368
21,69.43,0.341
22,80.33,0.315
21,66.8,0.29
21,41.66,0.286
22,79.03,0.281
22,92.03,0.292
21,39.72,0.278
21,46.75,0.284
22,78.0,0.284
21,63.88,0.284
21,37.29,0.294
21,24.51,0.312
21,27.36,0.318
21,13.95,0.306
21,66.24,0.299
22,85.09,0.307
21,38.9,0.296
21,54.51,0.298
21,58.72,0.287
21,50.21,0.277
21,22.8,0.276
21,22.02,0.273
21,13.58,0.269
21,54.02,0.26
22,90.7,0.241
21,29.63,0.232
21,17.69,0.228
21,21.3,0.226
21,19.05,0.221
21,15.32,0.211
21,33.05,0.212
21,15.13,0.223
21,17.31,0.225
21,17.52,0.233
21,40.33,0.235
21,49.02,0.219
21,65.42,0.219
21,17.84,0.215
21,19.9,0.21
21,34.63,0.209
21,38.77,0.205
20,7.56,0.202
20,0.35,0.203
21,18.52,0.195
21,4.63,0.193
21,16.88,0.192
21,26.53,0.196
20,35.43,0.195
20,12.0,0.191
21,10.05,0.188
20,41.87,0.19
20,18.78,0.191
20,1.77,0.186
21,50.66,0.204
21,69.25,0.206
20,30.3,0.209
20,34.65,0.22
20,18.98,0.217
20,28.64,0.222
20,32.55,0.205
20,15.85,0.202
20,21.87,0.198
20,15.16,0.195
20,45.79,0.202
21,66.71,0.219
20,59.33,0.217
22,90.26,0.233
22,73.93,0.217
20,40.42,0.18
20,8.12,0.173
20,32.68,0.175
20,39.01,0.178
20,15.12,0.187
20,27.02,0.183
20,22.79,0.19
20,25.44,0.184
20,12.38,0.171
20,34.06,0.166
21,71.68,0.161
20,21.43,0.156
20,26.35,0.154
20,15.49,0.162
20,50.48,0.173
21,67.54,0.165
20,11.81,0.162
21,67.48,0.175
20,13.92,0.149
20,50.56,0.164
21,72.96,0.177
20,15.88,0.181
21,64.95,0.204
20,33.37,0.171
20,12.43,0.165
20,26.36,0.182
20,48.14,0.212
20,32.44,0.192
20,19.73,0.196
20,38.15,0.211
20,26.71,0.223
20,36.89,0.237
22,84.25,0.248
22,95.93,0.242
22,92.52,0.264
22,84.8,0.254
22,88.04,0.28
22,87.39,0.269
20,44.76,0.257
20,9.63,0.235
20,7.48,0.232
21,6.79,0.233
20,11.3,0.222
20,10.42,0.218
20,11.99,0.219
22,97.02,0.223
22,99.25,0.244
22,99.29,0.232
20,27.27,0.214
20,11.76,0.213
20,8.91,0.201
20,21.91,0.205
20,11.64,0.194
20,28.98,0.18
20,24.58,0.178
21,70.91,0.183
20,19.14,0.175
22,96.04,0.171
20,7.05,0.17
22,96.08,0.167
22,99.1,0.173
20,4.85,0.167
22,97.56,0.162
22,99.83,0.175
22,96.73,0.162
20,17.9,0.162
20,8.09,0.17
20,4.45,0.176
20,31.41,0.167
20,40.95,0.189
20,35.37,0.178
22,97.9,0.178
20,24.57,0.179
20,34.49,0.182
22,94.78,0.181
22,98.67,0.162
20,8.58,0.171
22,74.82,0.186
20,12.25,0.167
20,12.48,0.151
20,10.75,0.141
22,98.53,0.149
22,94.3,0.14
20,56.53,0.143
22,87.4,0.139
20,17.27,0.147
20,47.31,0.161
20,16.34,0.151
20,10.35,0.132
20,20.26,0.138
20,30.19,0.154
20,6.04,0.14
22,98.78,0.147
22,91.99,0.155
20,12.59,0.146
22,98.31,0.149
22,99.37,0.138
20,14.27,0.139
20,14.66,0.149
20,24.89,0.138
20,14.6,0.143
20,27.17,0.166
20,12.39,0.178
20,57.19,0.18
20,37.8,0.155
20,44.58,0.178
22,93.12,0.16
20,49.05,0.163
20,31.37,0.184
20,19.97,0.191
20,35.75,0.2
22,85.72,0.216
22,100.0,0.906
22,99.81,0.213
22,99.99,2.002
20,61.45,0.171
20,52.96,0.228
20,17.3,0.179
22,99.89,0.577
22,99.99,5.397
20,24.75,0.153
20,55.55,0.144
21,67.24,0.192
22,99.92,0.279
22,99.77,0.205
20,59.68,0.159
20,6.27,0.131
22,96.34,0.109
20,14.85,0.122
21,64.27,0.129
22,83.56,1.097
20,43.41,0.118
20,33.29,0.118
20,57.61,0.132
20,49.28,0.159
